name	author	publisher	date	price	rate	comment
追风筝的人	[美] 卡勒德·胡赛尼 	 上海人民出版社 	 2006-5 	 29.00元	8.9	为你，千千万万遍
小王子	[法] 圣埃克苏佩里 	 人民文学出版社 	 2003-8 	 22.00元	9	献给长成了大人的孩子们
围城	钱锺书 	 人民文学出版社 	 1991-2 	?19.00 	8.9	对于“人艰不拆”四个字最彻底的违抗
解忧杂货店	[日] 东野圭吾 	 南海出版公司 	 2014-5 	 39.50元	8.6	一碗精心熬制的东野牌鸡汤，拒绝很难
活着	余华 	 南海出版公司 	 1998-5 	 12.00元	9.1	活着本身就是人生最大的意义
白夜行	[日] 东野圭吾 	 南海出版公司 	 2008-9 	 29.80元	9.1	暗夜独行的残破灵魂，爱与恶本就难分难舍
挪威的森林	[日] 村上春树 	 上海译文出版社 	 2001-2 	 18.80元	8	村上之发轫，多少人的青春启蒙
嫌疑人X的献身	[日] 东野圭吾 	 南海出版公司 	 2008-9 	?28.00 	8.9	数学好是一种极致的浪漫
三体	刘慈欣 	 重庆出版社 	 2008-1 	?23.00 	8.8	你我不过都是虫子
不能承受的生命之轻	[捷克] 米兰·昆德拉 	 上海译文出版社 	 2003-7 	 23.00元	8.5	朝向媚俗的一次伟大的进军
红楼梦	[清] 曹雪芹 著 	 人民文学出版社 	 1996-12 	 59.70元	9.6	谁解其中味？
梦里花落知多少	郭敬明 	 春风文艺出版社 	 2003-11 	 20.00元	7.1	只是青春留下的余烬
达·芬奇密码	[美] 丹·布朗 	 上海人民出版社 	 2004-2 	 28.00元	8.2	一切畅销的因素都有了
看见	柴静 	 广西师范大学出版社 	 2013-1-1 	 39.80元	8.8	在这里看见中国
百年孤独	[哥伦比亚] 加西亚·马尔克斯 	 南海出版公司 	 2011-6 	 39.50元	9.2	尼采所谓的永劫复归，一场无始无终的梦魇
1988：我想和这个世界谈谈	韩寒 	 国际文化出版公司 	 2010-9 	 25.00元	7.9	车手韩寒的公路小说
何以笙箫默	顾漫 	 朝华出版社 	 2007-4 	 15.00元	7.8	倒追有风险，入行需谨慎
平凡的世界（全三部）	路遥 	 人民文学出版社 	 2005-1 	 64.00元	9	中国当代城乡生活全景
简爱	[英] 夏洛蒂·勃朗特 	 世界图书出版公司 	 2003-11 	 18.00元	8.5	灰姑娘在十九世纪
哈利·波特与魔法石	[英] J. K. 罗琳 	 人民文学出版社 	 2000-9 	 19.50元	9	羽加迪姆勒维奥萨！
白夜行	东野圭吾 	 南海出版公司 	 2013-1-1 	 39.50元	9.2	封面剧透
三体Ⅱ	刘慈欣 	 重庆出版社 	 2008-5 	?32.00 	9.3	无边的黑暗森林，比第一部更为恢弘壮丽
飘	[美国] 玛格丽特·米切尔 	 译林出版社 	 2000-9 	 40.00元	9.3	革命时期的爱情，随风而逝
送你一颗子弹	刘瑜 	 上海三联书店 	 2010-1 	 25.00元	8.6	犀利又温柔，穿过胸口隐隐作痛
三体Ⅲ	刘慈欣 	 重庆出版社 	 2010-11 	 38.00元	9.2	终章，何去何从
天才在左 疯子在右	高铭 	 武汉大学出版社 	 2010-2 	 29.80元	8.2	简称“疯癫与文明”
傲慢与偏见	[英] 奥斯丁 	 人民文学出版社 	 1993-7 	 13.00元	8.8	所有现代言情小说的母体
倾城之恋	张爱玲 	 花城出版社 	 1997-3-1 	?11.00 	8.5	一段姻缘，需要一座城的倾覆来成全
三重门	韩寒 	 作家出版社 	 2000-5 	?16.00 	7.4	“我是金子，我要发光的”
杜拉拉升职记	李可 	 陕西师范大学出版社 	 2007-9 	 26.00元	7.8	职场丛林生存手册
